Points,Longitude,Latitude,COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1,Sum,Genes
55,421.14112,26.9802,0,0,0,1,1,0,2,"COL1A1,C3"
56,428.07369,26.9802,0,1,0,1,1,0,3,"S100A4,COL1A1,C3"
57,435.00626,26.9802,0,1,0,0,1,0,2,"S100A4,C3"
58,441.93884,26.9802,0,1,0,0,1,0,2,"S100A4,C3"
59,448.87141,26.9802,0,1,0,0,1,0,2,"S100A4,C3"
60,455.80398,26.9802,0,1,0,0,1,0,2,"S100A4,C3"
61,462.73655,26.9802,0,1,0,0,0,0,1,S100A4
62,469.66913,26.9802,0,1,0,0,0,0,1,S100A4
63,476.6017,26.9802,0,1,0,0,0,0,1,S100A4
64,483.53427,26.9802,0,1,0,0,0,0,1,S100A4
65,490.46685,26.9802,0,1,0,0,0,0,1,S100A4
66,497.39942,26.9802,0,1,0,0,0,0,1,S100A4
67,504.33199,26.9802,0,1,0,0,0,0,1,S100A4
68,511.26457,26.9802,0,1,0,0,0,0,1,S100A4
69,518.19714,26.9802,0,1,0,0,0,0,1,S100A4
70,525.12971,26.9802,0,1,0,0,0,0,1,S100A4
